loan_id,date_loan,duration_loan,payments_loan,status,account_district,account_frequency,account_date,owner_district,owner_card_type,owner_card_issued,disponent_district,disponent_card_type,disponent_card_issued,count_trans_credits,count_trans_withdrawals,count_trans_credit_cash,count_trans_withdrawal_cash,count_trans_withdrawal_card,count_trans_collection_other_bank,count_trans_remittance_other_bank,count_trans_ksymbol_interest_credited,count_trans_ksymbol_household,count_trans_ksymbol_payment_for_statement,count_trans_ksymbol_insurance_payment,count_trans_ksymbol_sanction_interest_if_negative_balance,count_trans_ksymbol_oldage_pension,last_trans_balance,mean_trans_balance,mean_trans_amount_absolute,mean_trans_amount_credit,mean_trans_amount_withdrawal,mean_trans_amount_signed,owner_male,owner_birthdate,disponent_male,disponent_birthdate
5314,930705,12,8033,1,30,2,930322,30,3,,,1,,4,0,4,0,0,0,0,0,0,0,0,0,0,20100.0,12250.0,5025.0,5025.0,,5025.0,0,470722,,
5316,930711,36,4610,0,46,1,930213,46,3,,,1,,17,20,12,12,0,0,8,5,2,3,0,0,0,52208.9,52083.859459459454,11015.635135135135,13523.158823529411,8884.240000000002,1411.0513513513513,1,680722,,
6863,930728,60,2118,0,45,1,930208,45,3,,,1,,15,9,2,6,0,5,3,8,1,0,0,0,0,20272.8,30060.954166666666,5417.458333333333,5009.733333333334,6097.0,844.7083333333331,1,360602,,
5325,930803,36,2939,0,12,1,930130,14,3,,,1,,13,12,2,10,0,6,2,5,2,2,0,0,0,34307.3,41297.48,8253.080000000002,9254.600000000002,7168.100000000001,1371.7040000000002,0,400420,,
7240,930906,60,4579,0,1,2,930214,63,3,,,1,,13,14,1,11,0,6,3,6,1,2,0,0,0,41112.9,57188.21111111111,18945.966666666667,21255.930769230767,16801.0,1522.7074074074071,1,780907,,
6687,930913,24,3660,0,13,1,930512,13,3,,13.0,0,,14,3,2,3,0,4,0,8,0,0,0,0,0,43847.8,46318.55294117647,9496.929411764706,7331.9857142857145,19600.0,2579.2823529411767,0,800216,1.0,851019.0
7284,930915,12,4399,0,15,1,930114,15,3,,,1,,21,22,14,14,0,0,8,7,4,3,0,0,0,21029.0,22198.17906976744,3714.8976744186048,4304.038095238096,3152.536363636363,489.0465116279069,1,730216,,
6111,930924,24,7281,1,24,1,930414,24,3,,,1,,16,16,11,16,0,0,0,5,4,3,0,0,0,58140.9,37485.45625,11557.95,13374.849999999999,9741.05,1816.9000000000003,0,480812,,
7235,931013,48,3217,0,18,2,930420,18,3,,,1,,16,16,10,16,0,0,0,6,0,4,0,0,0,53402.7,46715.8,9740.150000000001,11408.9875,8071.3125,1668.8374999999996,0,690525,,
5997,931104,24,4876,0,14,1,930620,14,3,,,1,,9,4,1,4,0,4,0,4,0,0,0,0,0,53193.5,44131.16923076923,14122.576923076924,13154.833333333334,16300.0,4091.8076923076924,1,351003,,
7121,931110,36,609,0,55,1,930117,55,3,,55.0,0,,21,24,12,19,0,0,5,9,5,5,0,0,0,49083.3,34272.21333333333,5957.544444444445,7551.738095238095,4562.625,1090.7444444444445,1,600820,0.0,591101.0
6077,931122,24,3317,0,44,1,930113,44,3,,,1,,22,31,1,31,0,11,0,10,0,6,0,0,0,103745.7,69954.57169811321,17600.358490566035,23558.29090909091,13372.148387096773,1957.4679245283016,1,700428,,
6228,931201,60,7742,1,6,2,930319,77,3,,,1,,31,37,22,37,0,0,0,9,0,7,0,0,0,121570.3,51760.01617647058,13335.798529411766,16035.558064516128,11073.837837837838,1284.8573529411763,0,401202,,
6356,931208,36,2650,0,49,2,930315,5,3,,,1,,22,25,13,25,0,0,0,9,0,6,0,0,0,27697.0,41562.32340425532,10370.702127659575,11706.59090909091,9195.12,588.6595744680851,1,710210,,
5523,931208,36,2608,0,63,0,930705,63,3,,,1,,12,7,2,7,0,5,0,5,0,1,0,0,0,34716.3,37510.49473684211,7121.915789473685,7084.7,7185.714285714285,1827.1789473684212,0,501020,,
6456,931209,12,3918,0,64,0,930414,46,3,,,1,,22,20,14,16,0,0,4,8,4,4,0,0,0,58773.2,60382.08571428573,12252.22380952381,13031.063636363637,11395.5,1399.3666666666666,0,571231,,
7104,931213,60,4329,0,68,1,930711,68,3,,,1,,10,7,1,6,0,5,1,4,1,0,0,0,0,67219.5,45198.15294117647,13038.088235294117,14443.35,11030.57142857143,3954.0882352941185,1,790316,,
6820,931216,12,3179,0,1,1,930628,1,3,,,1,,18,11,2,7,0,6,4,10,1,1,0,0,0,56840.8,37462.093103448286,8369.555172413793,8067.861111111111,8863.236363636364,1645.7206896551722,0,650122,,
6876,931221,12,7218,0,11,1,930818,11,3,,,1,,12,3,6,3,0,0,0,6,0,0,0,0,0,37253.1,25714.046666666665,5323.546666666666,4879.433333333333,7100.0,2483.5466666666666,1,610928,,
7097,931223,24,3151,1,54,1,930610,54,3,,,1,,15,8,6,8,0,0,0,9,1,0,0,0,0,41954.8,50009.90869565218,13406.739130434782,11677.0,16650.0,1824.1304347826087,1,581207,,
4959,940105,24,3373,0,1,1,930226,1,3,,1.0,0,,22,32,2,27,0,10,5,10,5,6,0,0,0,27840.6,32590.624074074065,7954.257407407406,10394.786363636364,6276.393749999999,515.5685185185185,1,450204,0.0,401009.0
6499,940105,24,3373,0,1,1,930226,1,3,,1.0,0,,22,32,2,27,0,10,5,10,5,6,0,0,0,28749.1,33312.53888888889,7937.749999999999,10395.177272727273,6248.268749999999,532.3944444444446,1,450204,0.0,401009.0
5479,940110,12,2043,0,1,1,930227,1,3,,,1,,31,42,21,42,0,0,0,10,0,8,0,0,0,78656.2,55582.22602739726,16201.55890410959,20344.677419354837,13143.542857142855,1077.4821917808217,1,581007,,
5170,940120,60,4220,0,68,2,930510,52,3,,,1,,21,20,13,20,0,0,0,8,0,5,0,0,0,81150.6,47302.54634146342,11912.358536585365,13560.890476190476,10181.4,1979.285365853658,0,500313,,
6721,940121,24,878,0,4,1,930908,17,3,,,1,,13,2,7,2,0,0,0,6,0,0,0,0,0,33467.0,21575.68666666666,3164.473333333334,3012.853846153846,4150.0,2057.8066666666664,0,640809,,
7259,940131,36,3004,0,1,1,930520,59,3,,59.0,0,,23,32,15,26,0,0,6,8,6,6,0,0,0,21921.3,54652.89818181817,13671.42909090909,16822.826086956524,11406.3625,398.5709090909086,0,630512,1.0,570423.0
5285,940206,12,6578,0,1,1,930509,31,3,,,1,,24,27,15,18,0,0,9,9,4,5,0,0,0,24601.0,25900.31960784314,3259.0,3975.2083333333335,2622.3703703703704,482.37254901960796,0,570122,,
5189,940207,48,3105,0,11,1,930421,11,3,,,1,,20,34,2,29,0,9,5,9,5,5,0,0,0,19033.5,36845.58888888889,6682.02962962963,9496.580000000002,5026.411764705883,352.47407407407405,0,681220,,
6650,940217,12,4110,1,24,0,930903,24,3,,,1,,17,32,12,22,0,0,10,5,5,5,0,0,0,15673.6,46576.27755102041,10548.35918367347,15663.03529411765,7831.1875,319.869387755102,0,451003,,
7226,940223,36,5493,0,50,1,930913,13,3,,13.0,0,,11,5,7,5,0,0,0,4,0,0,0,0,0,43294.5,44735.43125,14293.4125,12363.145454545454,18540.0,2705.9125,0,700505,1.0,680708.0
6087,940227,60,5011,0,40,1,930429,40,3,,,1,,24,42,15,27,0,0,15,9,5,5,0,0,0,33918.9,45854.89090909091,10342.530303030304,14927.625,7722.476190476191,513.9242424242425,1,500107,,
7262,940301,36,5073,0,75,1,931010,75,3,,,1,,10,3,6,3,0,0,0,4,0,0,0,0,0,45660.9,33229.107692307705,8281.607692307693,7666.089999999999,10333.333333333334,3512.3769230769226,1,590523,,
5519,940308,12,7636,0,7,1,930308,52,3,,52.0,0,,27,43,15,35,0,0,8,12,8,8,0,0,0,33061.9,40976.94285714286,6304.1057142857135,8784.244444444443,4746.8093023255815,472.31142857142885,0,621228,1.0,610326.0
6577,940311,24,2154,0,74,1,930208,74,0,931107.0,,1,,44,58,31,53,5,0,0,13,0,11,0,0,0,38202.2,58226.50490196079,13901.269607843138,16546.952272727274,11894.199999999999,374.53235294117627,0,680128,,
6509,940315,24,2307,0,64,1,930318,64,3,,,1,,47,51,25,51,0,0,0,22,0,10,0,0,0,12414.4,46061.31938775511,8702.47551020408,9204.863829787233,8239.49019607843,126.67959183673443,0,391225,,
6520,940316,24,3800,0,39,1,930728,39,3,,39.0,0,,18,18,3,15,0,8,3,7,3,3,0,0,0,32715.3,32558.533333333333,9999.522222222222,10908.277777777777,9090.766666666668,908.7555555555555,0,550826,1.0,580405.0
6699,940330,24,319,0,48,1,930328,48,3,,48.0,0,,36,45,14,37,0,0,8,22,8,7,0,0,0,36353.1,46444.63950617283,6436.60987654321,7746.088888888891,5389.026666666667,448.80246913580265,0,620903,1.0,590607.0
6336,940331,36,5900,0,38,2,930305,38,3,,,1,,31,40,19,40,0,0,0,12,0,9,0,0,0,64221.1,51034.361971830986,11301.5661971831,13977.941935483872,9227.375,904.523943661972,0,661024,,
7055,940406,60,2785,0,62,1,930506,62,3,,62.0,0,,33,46,22,46,0,0,0,11,0,10,0,0,0,39310.2,63707.62658227849,14332.407594936709,17751.06666666667,11879.891304347826,497.59746835443025,0,700117,1.0,730602.0
6103,940407,60,2489,0,44,2,930521,44,3,,,1,,23,33,3,27,0,10,6,10,6,6,0,0,0,23538.3,29069.11607142857,5778.791071428573,7546.752173913043,4546.575757575758,420.3267857142857,1,630201,,
6202,940418,12,5432,0,54,1,930125,3,3,,,1,,30,52,1,52,0,15,0,14,0,10,0,0,0,67995.4,47426.55000000001,11972.676829268292,17495.916666666668,8786.192307692307,829.213414634146,1,570929,,
7066,940502,36,5983,1,1,1,931127,39,3,,,1,,10,5,3,5,0,0,0,7,0,0,0,0,0,30662.8,32702.726666666662,6110.86,6116.29,6100.0,2044.1933333333334,1,591217,,
6696,940509,60,1484,0,77,1,930412,77,3,,77.0,0,,44,43,18,35,0,0,8,26,8,9,0,0,0,29305.8,30045.399999999994,3441.20459770115,3735.122727272728,3140.4511627906977,336.85057471264366,0,700125,1.0,761116.0
6072,940510,36,5388,0,72,0,931025,72,3,,,1,,20,9,12,9,0,0,0,8,0,1,0,0,0,80780.0,63579.21724137931,16951.03448275862,14309.0,22822.222222222223,2785.5172413793102,1,721203,,
5130,940511,12,2026,0,16,1,930210,16,3,,,1,,37,41,7,41,0,15,0,15,0,11,0,0,0,28461.9,29380.839743589742,4949.474358974359,5601.632432432432,4360.941463414634,364.89487179487185,0,551119,,
5568,940517,60,4542,0,10,1,930618,10,3,,10.0,0,,34,50,23,40,0,0,10,11,10,9,0,0,0,30009.9,44602.64166666666,10778.345238095239,13755.75294117647,8753.708,357.26428571428596,1,390902,0.0,410819.0
6678,940520,12,6695,0,11,1,930705,1,3,,1.0,0,,22,30,3,30,0,10,0,9,0,5,0,0,0,89342.6,61531.590384615396,15464.398076923078,20306.622727272726,11913.433333333332,1718.128846153846,0,760206,1.0,780105.0
6998,940521,12,8136,0,20,1,930724,21,3,,,1,,20,45,1,33,0,10,12,9,6,5,0,0,0,41330.1,53379.12769230769,15218.433846153845,25763.21,10531.866666666667,635.8492307692308,0,680907,,
6580,940522,48,4085,0,23,1,931003,23,3,,,1,,20,27,13,27,0,0,0,7,0,5,0,0,0,86857.4,49143.965957446795,10472.497872340426,14476.62,7506.481481481482,1848.0297872340418,1,580527,,
6316,940526,12,6409,1,12,1,930126,4,3,,,1,,42,60,26,60,0,0,0,16,0,12,0,0,0,14888.6,52890.4039215686,12928.499019607847,15876.135714285712,10865.153333333332,145.96568627450944,0,460119,,
6512,940526,48,1319,0,4,1,930419,31,3,,,1,,35,47,23,30,0,0,17,12,8,8,0,0,0,28553.5,22551.779268292685,2011.2317073170732,2763.92,1450.7191489361699,348.2121951219512,0,560507,,
6407,940526,24,1081,0,41,1,930908,41,3,,,1,,19,18,11,18,0,0,0,8,0,4,0,0,0,69398.9,56927.45405405405,10704.751351351351,12249.336842105264,9074.355555555556,1875.6486486486488,0,600521,,
5002,940531,12,8734,0,66,1,931126,66,3,,66.0,0,,12,18,7,10,0,0,8,5,2,1,0,0,0,28015.4,38709.82999999999,6642.553333333332,9470.5,4757.2555555555555,933.8466666666665,1,391130,0.0,450628.0
6647,940601,48,4340,0,1,2,930207,31,3,,31.0,0,,33,52,3,52,0,15,0,15,0,11,0,0,0,44213.1,43944.889411764714,9434.437647058825,12819.854545454546,7286.0,519.8023529411764,0,680414,1.0,600420.0
7137,940603,24,6315,0,66,1,931121,66,3,,,1,,13,15,1,14,0,6,1,6,1,2,0,0,0,21323.2,53976.29285714286,16935.55357142857,19058.40769230769,15095.746666666668,761.5392857142859,1,530505,,
6903,940604,24,2172,0,30,1,930913,11,3,,,1,,39,32,13,32,0,0,0,26,0,5,0,6,0,58659.8,33459.68028169014,6031.725352112676,6244.838461538462,5771.99375,828.8014084507046,0,590717,,
5918,940604,36,8339,0,27,1,930605,57,3,,,1,,27,44,15,44,0,0,0,12,8,8,0,0,0,33932.8,34084.46056338029,6578.118309859155,9277.392592592592,4921.745454545455,477.9267605633805,1,640313,,
6642,940605,12,6470,0,44,2,930707,27,3,,,1,,22,38,2,38,0,10,0,10,0,6,0,0,0,30825.8,55570.30499999998,13255.798333333334,18776.677272727273,10059.5,513.7649999999999,1,670710,,
6210,940606,48,1817,1,15,1,931126,15,3,,,1,,21,12,3,12,0,6,0,12,2,2,0,0,0,21579.1,28362.248484848482,4041.378787878788,3691.8238095238103,4653.099999999999,657.3060606060606,1,640513,,
6279,940607,24,3640,0,38,1,930721,38,3,,,1,,16,14,6,14,0,0,0,10,0,2,0,0,0,29072.5,36783.95,8145.613333333333,8544.575,7689.657142857143,968.6,1,620710,,
7249,940612,48,1445,0,11,1,930319,46,3,,,1,,31,47,17,47,0,0,0,14,0,10,0,0,0,38665.0,33857.10641025641,4748.167948717948,6597.1322580645165,3528.6382978723404,495.7064102564103,1,410728,,
6736,940614,60,4806,0,1,0,940227,1,3,,,1,,8,2,4,2,0,0,0,4,0,0,0,0,0,43313.2,33211.759999999995,8585.04,8081.299999999999,10600.0,4345.039999999999,1,351215,,
6112,940617,24,7281,1,34,1,930322,5,3,,,1,,38,80,23,38,0,0,42,15,14,14,0,3,0,6930.8,26252.81440677965,7375.627966101697,11542.828947368422,5396.2075,58.73644067796605,0,781121,,
5319,940623,60,3991,0,40,1,930922,68,3,,,1,,18,28,1,20,0,9,8,8,4,4,0,0,0,36240.6,40061.58043478262,9689.680434782607,13387.938888888888,7312.228571428571,787.8369565217392,0,420913,,
6596,940625,24,3816,0,1,1,931126,33,3,,,1,,14,17,1,17,0,7,0,6,0,2,0,0,0,49842.9,50765.41612903224,15002.819354838708,18390.37142857143,12213.070588235294,1607.8387096774193,0,511116,,
5837,940629,60,4076,0,56,1,931014,58,3,,,1,,18,24,3,20,0,8,4,7,4,3,0,0,0,21326.1,38426.728571428575,10168.945238095237,12456.161111111112,8453.533333333333,507.7642857142857,0,670719,,
5657,940705,12,415,0,63,1,931105,63,3,,,1,,19,27,11,17,0,0,10,8,3,4,0,0,0,22500.3,30533.37173913043,3932.5043478260873,5352.515789473684,2933.237037037037,489.13913043478266,0,520726,,
5533,940705,24,4641,0,19,1,930320,11,3,,,1,,55,97,39,69,0,0,28,16,14,14,0,0,0,52318.9,65097.22434210526,13525.023684210526,19164.749090909096,10327.241237113401,344.2026315789469,1,670210,,
6232,940708,36,7685,1,56,1,930828,56,3,,,1,,30,28,20,28,0,0,0,10,7,6,0,0,0,19783.2,19256.894827586206,3499.2862068965514,3712.366666666667,3270.9857142857145,341.0931034482758,1,490518,,
6888,940711,12,3298,0,1,1,930204,32,3,,,1,,53,62,21,39,0,0,23,32,12,12,0,0,0,23901.1,48944.82782608695,8275.28347826087,9203.384905660376,7481.906451612903,207.8365217391306,0,800502,,
6066,940711,24,7242,0,77,0,930623,77,3,,77.0,0,,26,49,1,49,0,13,0,12,0,8,0,0,0,94431.9,61218.65866666667,17396.585333333336,26907.226923076923,12350.122448979591,1259.092,0,570127,1.0,500305.0
5549,940716,60,841,0,11,1,931020,11,3,,,1,,19,24,11,19,0,0,5,8,5,4,0,0,0,41531.0,37570.62790697674,6392.972093023255,8327.073684210525,4861.808333333333,965.8372093023257,0,471017,,
5060,940719,60,4201,1,1,1,931129,60,3,,,1,,26,35,19,25,0,0,10,7,5,5,0,0,0,70096.5,57340.50819672131,11625.122950819672,14985.173076923076,9129.085714285715,1149.1229508196718,0,650803,,
6004,940723,24,5996,0,12,1,930220,50,3,,,1,,47,92,30,60,0,0,32,17,16,15,0,0,0,38336.2,49727.45611510792,9194.261151079136,14003.602127659573,6737.315217391304,275.80071942445994,1,510410,,
5126,940724,48,4336,1,54,1,930511,54,3,,,1,,29,35,16,35,0,0,0,13,0,8,0,0,0,81474.6,36369.975,9442.159375,11823.668965517241,7468.908571428572,1273.040625,1,510806,,
7220,940728,36,3647,0,1,2,930529,1,3,,,1,,29,54,2,44,0,14,10,13,10,9,0,0,0,31361.3,36635.11566265058,7915.583132530121,11868.186206896553,5792.888888888889,377.84819277108426,1,540320,,
6668,940730,36,2076,0,45,1,930626,45,3,,,1,,26,41,14,33,0,0,8,12,8,8,0,0,0,33243.7,37912.99850746269,8191.962686567164,11194.334615384616,6288.019512195122,496.17761194029845,1,651029,,
5395,940730,36,8308,1,67,1,930606,67,3,,,1,,46,80,33,56,0,0,24,13,12,11,0,0,0,19448.5,51992.85476190475,12746.58650793651,17668.680434782607,9916.3825,154.35476190476217,0,661210,,
6836,940803,60,3155,0,47,1,930616,58,3,,,1,,42,60,16,42,0,0,18,26,9,9,0,0,0,24471.4,32354.031372549023,5114.498039215686,6502.74761904762,4142.723333333333,240.70588235294125,1,531205,,
6064,940804,12,1219,0,55,1,930701,55,3,,,1,,29,73,16,40,0,0,33,13,8,9,0,0,0,34902.8,32788.14215686275,4093.035294117647,7799.868965517241,2620.457534246575,342.1843137254902,0,490308,,
6919,940805,36,3358,0,1,2,930327,1,3,,,1,,36,60,21,48,0,0,12,15,12,13,0,0,0,52014.4,40838.755208333336,9301.089583333332,13123.877777777778,7007.416666666667,541.8187499999998,0,440420,,
6841,940807,48,3585,0,10,1,940121,10,3,,,1,,25,17,12,17,0,0,0,13,0,4,0,0,0,58224.0,60743.957142857136,11368.769047619047,10713.956,12331.729411764705,1385.9404761904764,0,570305,,
6038,940810,48,6739,0,1,1,930621,1,3,,,1,,28,29,19,24,0,0,5,9,5,6,0,0,0,69179.8,45414.07368421052,12422.015789473682,13879.189285714285,11015.089655172413,1213.6789473684207,0,401015,,
6729,940811,12,6224,0,23,1,930402,23,3,,23.0,0,,49,63,1,51,0,16,12,32,12,12,0,0,0,28933.3,48484.62410714286,11551.496428571429,13496.946938775509,10038.368253968254,258.3321428571427,0,450126,1.0,500115.0
7198,940823,12,3814,0,67,2,931122,72,3,,,1,,22,5,10,5,0,0,0,12,0,0,0,0,0,54427.5,32555.818518518518,5645.466666666667,4701.254545454546,9800.0,2015.8370370370374,0,770527,,
6686,940825,36,6239,0,31,1,930324,31,3,,31.0,0,,34,59,1,59,0,17,0,16,0,12,0,0,0,40287.4,57496.989247311845,14537.803225806454,20475.04411764706,11116.342372881356,433.19677419354826,1,760524,0.0,790813.0
5836,940827,24,3318,0,66,1,940408,66,3,,,1,,10,6,1,5,0,5,1,4,1,0,0,0,0,89746.5,63494.2,24948.65625,24446.25,25786.0,5609.15625,0,590810,,
7061,940827,24,5079,0,55,1,930428,55,3,,,1,,39,54,24,54,0,0,0,15,0,9,0,0,0,41917.2,54422.59677419356,13230.344086021505,16312.041025641025,11004.674074074075,450.7225806451612,1,650307,,
5595,940902,12,6908,0,60,1,930508,49,0,940215.0,49.0,0,,34,92,4,57,2,15,33,15,11,11,0,0,0,64286.0,57141.73095238094,10765.977777777778,20655.870588235295,7111.017391304347,381.6349206349207,1,720206,0.0,750502.0
5723,940910,12,1969,0,38,1,930312,38,3,,,1,,49,61,31,49,0,0,12,18,12,13,0,0,0,64096.3,47420.84181818182,9915.672727272728,11783.88163265306,8414.980327868852,582.6945454545454,1,540309,,
6120,940911,48,4358,0,52,1,930816,1,3,,,1,,26,42,1,42,0,13,0,12,0,8,0,0,0,44254.7,46230.33970588236,14438.21176470588,19731.792307692307,11161.233333333334,650.8058823529409,1,530618,,
6895,940919,12,3492,0,68,1,930124,70,3,,,1,,63,80,26,50,0,0,30,37,15,15,0,0,0,39204.7,36080.386713286716,6720.9006993007,7938.838095238093,5761.775,274.15944055944004,1,740708,,
5882,940926,12,7318,0,32,1,930607,1,3,,1.0,0,,41,43,27,32,0,0,11,14,11,10,0,0,0,15665.6,25533.21428571429,4538.9,4840.648780487805,4251.186046511628,186.4952380952383,1,610502,0.0,660525.0
5754,940928,12,1921,0,54,1,930119,54,3,,54.0,0,,48,123,29,62,0,0,61,19,15,15,0,0,0,28531.7,23771.966081871342,3618.3263157894735,6742.349999999999,2399.1951219512193,166.85263157894747,0,401101,1.0,460210.0
6594,940928,24,7904,1,60,1,940517,60,3,,,1,,5,0,5,0,0,0,0,0,0,0,0,0,0,22500.0,14900.0,4500.0,4500.0,,4500.0,0,700219,,
6738,940929,36,6395,1,74,1,931008,74,3,,,1,,38,44,17,25,0,0,19,21,9,10,0,3,0,6325.5,27658.48780487805,7188.852439024389,7839.626315789475,6626.820454545454,77.14268292682937,0,421109,,
6624,940930,12,5955,0,55,1,931108,55,3,,55.0,0,,20,23,12,19,0,0,4,8,4,4,0,0,0,82549.0,47991.53023255814,10433.43953488372,13133.975,8085.147826086956,1784.211627906977,1,450803,0.0,430615.0
6216,940930,24,5885,0,50,1,930907,50,3,,,1,,27,75,2,41,0,13,34,12,8,8,0,0,0,45871.6,57219.5745098039,9343.385294117648,18498.092592592595,6047.690666666667,449.7225490196078,1,620911,,
6229,941002,24,489,0,1,1,930422,1,3,,,1,,36,97,19,59,0,0,38,17,13,13,0,0,0,26984.4,42224.439097744355,6032.843609022556,11518.78888888889,3996.822680412371,202.89172932330808,1,380916,,
5887,941003,36,5354,0,60,1,930602,60,3,,60.0,0,,33,43,19,43,0,0,0,14,0,10,0,0,0,29033.7,37265.655263157896,7643.909210526314,9241.760606060605,6417.651162790697,381.8302631578948,0,710920,1.0,790606.0
6808,941012,36,6330,0,64,1,930925,64,3,,64.0,0,,45,38,21,38,0,0,0,24,0,11,0,0,0,53716.6,45134.721686747,8156.793975903614,8119.22888888889,8201.27894736842,647.1891566265059,0,551104,1.0,530709.0
6297,941025,12,1459,0,74,1,930801,12,3,,,1,,31,41,17,41,0,0,0,14,0,10,0,0,0,48027.0,39290.618055555555,4842.765277777778,6398.487096774194,3666.487804878049,667.0430555555556,1,460401,,
5161,941028,24,4091,0,65,1,940709,65,3,,,1,,11,3,1,3,0,4,0,6,0,0,0,0,0,68956.1,41660.39285714285,9311.157142857144,9059.654545454547,10233.333333333334,4925.442857142858,0,450612,,
5390,941030,24,7094,0,16,1,930808,16,3,,,1,,31,46,18,36,0,0,10,13,10,9,0,0,0,43302.8,40091.183116883105,9089.424675324675,11986.912903225804,7136.769565217391,562.3753246753247,0,650716,,
6150,941102,12,6918,0,70,1,930208,57,3,,,1,,67,129,46,93,0,0,36,21,18,18,0,0,0,93605.6,67891.93520408162,13414.556632653064,20124.31791044776,9929.641860465117,343.90561224489795,1,790326,,
6223,941103,48,1272,0,1,1,931121,57,3,,,1,,23,41,12,29,0,0,12,11,6,7,0,0,0,33539.9,36039.0515625,5646.3390625,8584.586956521738,3998.053658536585,523.8328125,0,570906,,
5032,941103,48,2577,0,56,1,931202,56,3,,,1,,22,39,12,27,0,0,12,10,6,6,0,0,0,25201.8,49084.38196721312,8953.219672131147,12984.854545454546,6678.964102564103,412.90491803278684,1,400827,,
